ID,REGFALLE,OCUPACION,EDAD,EDADIGNORA,GRUPOSEDAD,SEXO,DEPTOLEV,MPIOLEV,LUGARLEVAN,PROCEMURIO,DIAMES,HORALEVAN,DEPTOOCUHE,MPIOOCUHE,PROCEOCUHE,LUGARAGRES,FECHAAGRE,TIPOVIOCOM,TIPOARMA,TIPOVIOINT,PRACAUT
1,21117,MARA SALVATRUCHA,27,,25-29,M,AHUACHAPAN,JUJUTLA,CARRETERA,R,01/01/2021,610,AHUACHAPAN,JUJUTLA,R,CARRETERA,01/01/2018,MARAS,ARMA DE FUEGO,,SI
2,21125,MARA SALVATRUCHA,22,,20-24,M,AHUACHAPAN,ATIQUIZAYA,CAFETAL,R,27/01/2021,1710,AHUACHAPAN,ATIQUIZAYA,R,CAFETAL,27/01/2018,ENFRENT C\AUTORIDAD,ARMA DE FUEGO,,SI
3,19652,DESCONOCIDO,15,,15-19,M,CABANAS,SENSUNTEPEQUE,CALLE,R,15/01/2021,401,CABANAS,SENSUNTEPEQUE,R,CALLE,15/01/2018,MARAS,ARMA DE FUEGO,,SI
4,19668,DESCONOCIDO,50,,50-54,M,CABANAS,CIUDAD VICTORI,CALLE,R,30/01/2021,1600,CABANAS,CIUDAD VICTORIA,R,CALLE,30/01/2018,NO SE SABE,ARMA DE FUEGO,,SI
5,12225,ALBA¥IL,47,,45-49,M,CABANAS,GUACOTECTI,CALLE,R,31/01/2021,1000,CABANAS,GUACOTECTI,R,CALLE,31/01/2018,MARAS,ARMA DE FUEGO,,SI
6,17397,JORNALERO,32,,30-34,M,CHALATENANGO,SAN IGNACIO,RIO,R,01/09/2021,1930,CHALATENANGO,SAN IGNACIO,R,RIO,01/09/2018,NO SE SABE,ARMA DE FUEGO,,SI
7,21679,MARA SALVATRUCHA,26,,25-29,M,CHALATENANGO,SAN RAFAEL,CALLE,R,19/01/2021,30,CHALATENANGO,SAN RAFAEL,R,CALLE,18/01/2018,NO SE SABE,ARMA DE FUEGO,,NO
8,21680,MARA SALVATRUCHA,30,,30-34,M,CHALATENANGO,LA PALMA,BARRANCO,R,14/01/2021,1730,CHALATENANGO,LA PALMA,R,BARRANCO,14/01/2018,MARAS,ARMA DE FUEGO,,NO
9,21681,MARA 18,20,,20-24,M,CHALATENANGO,AZACUALPA,CASA PROPIA,U,25/01/2021,445,CHALATENANGO,AZACUALPA,U,CASA PROPIA,25/01/2018,MARAS,ARMA DE FUEGO,,NO
10,21683,MARA 18,27,,25-29,M,CHALATENANGO,NUEVA CONCEPCI,CA¥AL,R,25/01/2021,230,CHALATENANGO,NUEVA CONCEPCION,R,CA¥AL,24/01/2018,MARAS,ARMA DE FUEGO,,NO
11,21241,MARA SALVATRUCHA,33,,30-34,M,CUSCATLAN,SAN PEDRO PERU,CALLE,R,01/02/2021,1115,CUSCATLAN,SAN PEDRO PERULAPAN,R,CALLE,01/01/2018,MARAS,ARMA DE FUEGO,,SI
12,21242,MARA SALVATRUCHA,28,,25-29,M,CUSCATLAN,SAN PEDRO PERU,PREDIO BALDIO,R,17/01/2021,1915,CUSCATLAN,SAN PEDRO PERULAPAN,R,PREDIO BALDIO,17/01/2018,MARAS,ARMA DE FUEGO,,SI
13,21245,MARA SALVATRUCHA,20,,20-24,M,CUSCATLAN,SAN PEDRO PERU,CALLE,R,23/01/2021,2330,CUSCATLAN,SAN PEDRO PERULAPAN,R,CALLE,23/01/2018,MARAS,ARMA DE FUEGO,,SI
